Username,Like_Count,Created_At,Comment
spamssharanya,1,2026-01-06 02:02:00,Finance
abba_dab06,549,2025-12-04 16:16:34,Can we not join healthcare if it isn’t something we are passionate about💔
jessepeterke,41,2025-12-03 07:58:44,Affiliate marketing
jenn4.480,12,2025-12-05 14:15:00,Netflix movie reviewer
noah_lenz,7,2025-12-04 18:52:31,Investment Banking
judelorza,827,2025-12-04 13:42:53,Chat failed the assignment 😪
sorra_rawr,38,2025-12-09 17:36:12,gloving
marouenbenjr,8,2025-12-09 06:16:03,Gambling
brenton.__.1,41,2025-12-04 13:22:04,there’s a place that needs a night guard the animatronics get quite quirky at night tho
goofy_lil_fella,334,2025-12-03 17:58:35,"Go into trades, I'm in a program for construction for the next two years and the dudes I work with are great. Get to be as crude as we want and get to learn a useful skill. Then after 2 years ima pursue electrical work"
rzneilzx,81,2025-12-04 00:20:33,try to join a mafia i’ve heard from my grandpa who used to be in one that its good
jasonmorici,6,2025-12-05 16:22:00,ps4 repairman
phoneairplanemode,55,2025-12-05 08:51:25,
miro_meek,9,2025-12-07 17:48:35,Gift battler on live lmao
thatfuckinunicorn,47,2025-12-03 01:50:14,Become a referee 🥺
vxmu3l,27,2025-12-15 10:12:57,gamblinggraphy
bron0922pes,8,2025-12-25 16:13:04,Honesty wanna be a stay at home dad and have the woman give me princess treatment and provide lol
oflekaa,7,2025-12-05 07:45:14,roblox tycoon
grat._,18,2025-12-03 20:07:44,mcdolands
farismm214,1431,2025-12-05 06:53:27,
atoev264,15,2025-12-05 04:51:59,Where do you guys see Emily Black’s latest stuff?
mqshpitt,8,2025-12-22 20:11:00,Unlicensed pharmacist
tytygulley,3440,2025-12-03 18:38:48,
mountain_crypto,119,2025-12-03 22:14:13,Just pray atp ✌😭
vsknave,6,2025-12-03 04:58:14,Jiu Jitsu athlete
miahhscorner,7,2025-12-04 13:19:02,make those rain sounds on youtube
m.j.s.23,17,2025-12-22 15:27:18,"Y'all mentioning careers in Healthcare are cracking me up, you do realize you HAVE TO BE PASSIONATE to work in Healthcare right? Along with being caring/ empathetic, and like to be/ want to be around people for numerous hours out of the day?"
rudydeludydelusional,9,2025-12-09 10:49:02,gamble
myballzfr,78,2025-12-03 18:23:26,"I like what the other guy said, crime"
aliciasmurfy,113,2025-12-04 02:04:26,Congress would love you
pizzatimee__,51,2025-12-03 11:51:16,ups
deathpages,36,2025-12-03 23:48:28,social media manager for brands. I have a friend who manages a domino's account on here and she loves it lol
whsmiya,37,2025-12-03 18:37:21,idfk man
wenenee132,41,2025-12-02 22:10:18,Abstract art
ultimaninja100,6,2025-12-16 21:29:26,"I have the opposite issue. I know what I like to do, I just don’t get paid to do it😭"
roadkills_and_love,1,2025-12-22 02:40:33,Stenography
delobelost,45,2025-12-03 15:30:06,water treatment its a certificate class and they classes just repeat the same info im stuck in the same boat brodie
chickenandmilktea,98,2025-12-04 04:45:45,And doesn’t require a lot of empathy
